Datetime,AEP,COMED,DAYTON,DEOK,DOM,DUQ,FE,PJME,PJMW
1/9/2013 6:00,15785,9808,1917,2832,11497,1611,7394,31145,6253
1/9/2013 7:00,17292,10562,2131,3120,12953,1698,8180,35147,6745
1/9/2013 8:00,18056,11802,2266,3298,13413,1859,8721,36974,7042
1/9/2013 9:00,17632,12376,2246,3293,12744,1849,8664,36443,6900
1/9/2013 10:00,17178,12230,2222,3272,12011,1833,8638,35717,6797
1/9/2013 11:00,16985,12187,2210,3260,11377,1896,8654,35132,6772
1/9/2013 12:00,16688,12134,2145,3186,10980,1899,8519,34454,6617
1/9/2013 13:00,16408,12078,2107,3114,10704,1869,8360,34190,6573
1/9/2013 14:00,16113,12006,2064,3060,10454,1822,8263,34129,6455
1/9/2013 15:00,15754,11950,2028,3000,10330,1811,8068,33950,6307
1/9/2013 16:00,15494,11851,1989,2940,10322,1775,7972,33963,6228
1/9/2013 17:00,15507,11799,2013,2967,10585,1808,8057,34903,6292
1/9/2013 18:00,16499,12362,2149,3120,11439,1852,8657,37298,6674
1/9/2013 19:00,17147,13144,2258,3326,11689,1923,8997,37410,6834
1/9/2013 20:00,17095,13017,2246,3313,11438,1858,8961,36672,6708
1/9/2013 21:00,17016,12858,2212,3293,11125,1845,8851,35796,6668
1/9/2013 22:00,16544,12583,2153,3208,10579,1794,8500,33939,6367
1/9/2013 23:00,15750,12068,2030,3027,9710,1693,8087,31283,6053
1/10/2013 0:00,14875,11263,1914,2853,8967,1597,7596,28772,5606
1/10/2013 1:00,14337,10495,1842,2754,8488,1503,7251,27111,5395
1/10/2013 2:00,14103,10057,1807,2695,8341,1466,7069,26279,5280
1/10/2013 3:00,14100,9792,1779,2678,8359,1434,7041,25930,5247
1/10/2013 4:00,14220,9680,1790,2676,8521,1436,7021,26076,5314
1/10/2013 5:00,14555,9692,1843,2768,8969,1482,7157,26849,5411
1/10/2013 6:00,15446,9962,1984,2981,9937,1561,7640,29140,5772
1/10/2013 7:00,17163,10707,2214,3319,11389,1709,8386,33082,6369
1/10/2013 8:00,18077,11963,2360,3530,12011,1837,8964,35020,6649
1/10/2013 9:00,17899,12658,2323,3494,11594,1847,8868,34417,6611
1/10/2013 10:00,17734,12559,2319,3451,11103,1843,8783,33704,6423
1/10/2013 11:00,17486,12494,2311,3503,10763,1839,8740,33133,6336
1/10/2013 12:00,17159,12589,2301,3483,10509,1834,8688,32500,6169
1/10/2013 13:00,16868,12510,2278,3468,10184,1837,8605,32057,6035
1/10/2013 14:00,16764,12300,2258,3413,10033,1817,8594,31732,5899
1/10/2013 15:00,16449,12297,2238,3367,9846,1783,8416,31353,5818
1/10/2013 16:00,16255,12302,2209,3337,9880,1745,8306,31467,5816
1/10/2013 17:00,16351,12414,2225,3382,10374,1783,8379,32832,5945
1/10/2013 18:00,17104,12978,2313,3507,11500,1876,8823,36013,6408
1/10/2013 19:00,17633,13430,2364,3569,11829,1879,9005,36469,6621
1/10/2013 20:00,17455,13219,2320,3525,11752,1871,8946,36030,6557
1/10/2013 21:00,17226,12967,2270,3448,11552,1820,8827,35197,6480
1/10/2013 22:00,16695,12641,2177,3292,11089,1742,8506,33434,6173
1/10/2013 23:00,15803,12084,2028,3056,10386,1645,7962,31006,5898
1/11/2013 0:00,14904,11182,1896,2812,9763,1541,7462,28599,5464
1/11/2013 1:00,14175,10377,1794,2654,9416,1494,7090,27031,5244
1/11/2013 2:00,13882,9781,1732,2565,9309,1442,6879,26403,5083
1/11/2013 3:00,13595,9452,1690,2508,9420,1397,6762,26055,5029
1/11/2013 4:00,13637,9244,1674,2489,9574,1403,6753,26255,5106
1/11/2013 5:00,13815,9162,1698,2509,9990,1422,6779,27027,5224
1/11/2013 6:00,14583,9310,1808,2681,10836,1514,7106,29198,5490
1/11/2013 7:00,15798,9931,2006,2959,11982,1643,7923,33071,6036
1/11/2013 8:00,16738,11057,2138,3144,12388,1735,8483,35194,6339
1/11/2013 9:00,16592,11711,2123,3162,12084,1766,8511,35056,6319
1/11/2013 10:00,16341,11778,2105,3090,11831,1768,8579,34996,6244
1/11/2013 11:00,16368,11856,2085,3091,11688,1775,8642,34844,6245
1/11/2013 12:00,16095,11988,2063,3045,11609,1813,8600,34615,6149
1/11/2013 13:00,15841,11952,2034,3027,11464,1791,8490,34255,6162
1/11/2013 14:00,15750,11945,2007,2992,11373,1783,8368,33910,6116
1/11/2013 15:00,15380,11900,1958,2946,11231,1780,8164,33654,6046
1/11/2013 16:00,15063,11773,1913,2885,11260,1724,7957,33863,6031
1/11/2013 17:00,14925,11700,1892,2855,11499,1727,7910,35163,6071
1/11/2013 18:00,15420,12109,1953,2951,12061,1796,8243,36556,6326
1/11/2013 19:00,15761,12559,2032,3085,11856,1780,8286,35947,6347
1/11/2013 20:00,15526,12403,1983,3027,11452,1718,8199,34994,6171
1/11/2013 21:00,15250,12116,1939,2970,11138,1663,8060,33813,6098
1/11/2013 22:00,14854,11797,1878,2880,10529,1606,7773,32240,5860
1/11/2013 23:00,14179,11384,1786,2754,9904,1518,7352,30101,5576
1/12/2013 0:00,13427,10667,1675,2592,9279,1429,6791,27896,5223
1/12/2013 1:00,12831,9962,1570,2435,8708,1356,6463,26153,4895
1/12/2013 2:00,12409,9393,1502,2320,8395,1309,6161,25056,4683
1/12/2013 3:00,12272,9031,1469,2256,8224,1299,6041,24463,4610
1/12/2013 4:00,12128,8760,1437,2243,8165,1265,5915,24240,4588
1/12/2013 5:00,12250,8659,1457,2259,8285,1264,6016,24334,4614
1/12/2013 6:00,12433,8657,1513,2308,8552,1282,6169,25061,4747
1/12/2013 7:00,12916,8897,1597,2404,9001,1335,6455,26317,4881
1/12/2013 8:00,13412,9369,1698,2533,9540,1390,6720,27718,5132
1/12/2013 9:00,13807,9676,1747,2609,10049,1434,6820,29150,5297
1/12/2013 10:00,13988,9939,1810,2703,10384,1470,7051,30270,5472
1/12/2013 11:00,14096,10227,1840,2725,10424,1481,7142,30653,5510
1/12/2013 12:00,13855,10444,1832,2739,10307,1498,7086,30470,5391
1/12/2013 13:00,13697,10480,1797,2742,10021,1488,6988,29828,5210
1/12/2013 14:00,13369,10430,1754,2705,9729,1473,6819,29023,5063
1/12/2013 15:00,13091,10328,1699,2668,9474,1464,6754,28437,4884
1/12/2013 16:00,12985,10369,1677,2623,9445,1462,6675,28388,4834
1/12/2013 17:00,13202,10511,1705,2677,9666,1480,6733,29318,4931
1/12/2013 18:00,13915,11052,1792,2810,10459,1574,7191,31598,5307
1/12/2013 19:00,14237,11628,1849,2875,10697,1588,7438,31997,5426
1/12/2013 20:00,14043,11559,1813,2852,10498,1567,7278,31385,5336
1/12/2013 21:00,13857,11427,1765,2796,10195,1527,7163,30634,5247
1/12/2013 22:00,13424,11330,1711,2748,9896,1488,6924,29838,5112
1/12/2013 23:00,12876,11069,1619,2595,9369,1420,6616,28351,4845
1/13/2013 0:00,12180,10598,1501,2422,8791,1333,6163,26535,4546
1/13/2013 1:00,11632,10076,1391,2278,8332,1269,5862,24920,4363
1/13/2013 2:00,11303,9666,1318,2168,8018,1232,5620,23916,4242
1/13/2013 3:00,11073,9312,1281,2096,7850,1206,5531,23370,4212
1/13/2013 4:00,11012,9151,1260,2068,7782,1185,5437,23115,4127
1/13/2013 5:00,11008,8997,1257,2053,7877,1190,5447,23170,4126
1/13/2013 6:00,11190,9074,1275,2090,8103,1200,5517,23708,4190
1/13/2013 7:00,11480,9197,1322,2135,8401,1239,5689,24635,4375
1/13/2013 8:00,12095,9546,1420,2259,8889,1236,5931,25715,4605
1/13/2013 9:00,12599,9805,1491,2368,9413,1275,6136,27041,4838
1/13/2013 10:00,12909,10087,1550,2468,9640,1319,6370,28206,4992
1/13/2013 11:00,12863,10367,1601,2526,9737,1355,6540,28924,5049
1/13/2013 12:00,13007,10689,1631,2600,9666,1368,6682,29235,5029
1/13/2013 13:00,13234,10826,1652,2624,9572,1385,6710,29302,4945
1/13/2013 14:00,13239,10966,1663,2670,9433,1384,6751,29188,4974
1/13/2013 15:00,13231,11011,1660,2673,9270,1388,6743,29073,4863
1/13/2013 16:00,13274,11022,1677,2733,9212,1402,6809,29112,4851
1/13/2013 17:00,13517,11185,1747,2809,9461,1446,7043,30280,5035
1/13/2013 18:00,14383,11804,1864,2976,10282,1533,7538,32517,5352
1/13/2013 19:00,14777,12507,1910,3030,10608,1555,7692,32640,5527
1/13/2013 20:00,14686,12609,1896,3012,10416,1539,7604,32027,5479
1/13/2013 21:00,14544,12504,1883,2990,10046,1499,7496,31151,5336
1/13/2013 22:00,14104,12345,1835,2891,9456,1446,7242,29616,5160
1/13/2013 23:00,13386,12005,1762,2747,8749,1370,6920,27572,4824
1/14/2013 0:00,12837,11457,1708,2615,8046,1280,6565,25494,4585
1/14/2013 1:00,12501,10871,1661,2538,7545,1212,6315,24030,4340
1/14/2013 2:00,12391,10564,1656,2496,7307,1188,6241,23171,4222
1/14/2013 3:00,12352,10337,1652,2527,7211,1163,6229,22666,4226
1/14/2013 4:00,12464,10301,1693,2564,7208,1172,6354,22657,4204
1/14/2013 5:00,12951,10363,1758,2677,7452,1189,6515,23425,4370
1/14/2013 6:00,13902,10661,1925,2924,8258,1287,7008,25553,4655
1/14/2013 7:00,15495,11432,2171,3307,9423,1450,7862,29234,5220
1/14/2013 8:00,16678,12777,2351,3554,10012,1569,8623,31562,5652
1/14/2013 9:00,16782,13402,2349,3576,9984,1598,8730,31735,5660
1/14/2013 10:00,16978,13373,2376,3572,9916,1616,8799,31850,5703
1/14/2013 11:00,17051,13299,2397,3580,10021,1648,8896,31954,5796
1/14/2013 12:00,17176,13277,2378,3577,10051,1636,8887,32016,5791
1/14/2013 13:00,17097,13252,2355,3510,10060,1633,8850,31892,5759
1/14/2013 14:00,16888,13121,2337,3465,10058,1631,8886,31817,5731
1/14/2013 15:00,16847,13041,2316,3456,9982,1613,8808,31655,5642
1/14/2013 16:00,16806,12792,2318,3496,10125,1618,8774,31794,5722
1/14/2013 17:00,17039,12712,2360,3583,10447,1650,8917,32901,5854
1/14/2013 18:00,17824,13154,2461,3730,11224,1759,9334,35207,6281
1/14/2013 19:00,18296,14041,2526,3806,11307,1774,9511,35193,6462
1/14/2013 20:00,18190,14023,2501,3775,11175,1760,9333,34596,6332
1/14/2013 21:00,17976,13857,2447,3720,10934,1717,9188,33657,6299
1/14/2013 22:00,17414,13522,2357,3603,10276,1660,8793,32019,6075
1/14/2013 23:00,16592,12993,2216,3396,9639,1554,8272,29686,5739
1/15/2013 0:00,15653,12140,2095,3189,9062,1448,7810,27565,5309
1/15/2013 1:00,15090,11382,2019,3059,8629,1387,7475,26057,5106
1/15/2013 2:00,14799,10925,1974,2978,8536,1365,7219,25306,4990
1/15/2013 3:00,14724,10633,1945,2942,8516,1352,7133,25003,4938
1/15/2013 4:00,14777,10530,1942,2963,8633,1360,7166,25058,5101
1/15/2013 5:00,15008,10547,1988,3046,9018,1394,7313,25878,5220
1/15/2013 6:00,15874,10814,2115,3244,9930,1485,7748,28148,5548
1/15/2013 7:00,17497,11546,2347,3580,11210,1629,8528,32053,6128
1/15/2013 8:00,18438,12796,2496,3753,11985,1749,9099,34301,6428
1/15/2013 9:00,18325,13323,2464,3702,11789,1776,9109,34372,6372
1/15/2013 10:00,18173,13202,2446,3661,11884,1798,9099,34558,6421
1/15/2013 11:00,18199,13096,2417,3643,11932,1798,9117,34736,6408
1/15/2013 12:00,18013,12999,2363,3599,11988,1806,8973,34739,6394
1/15/2013 13:00,17899,12908,2348,3548,12013,1792,8840,34675,6347
1/15/2013 14:00,17681,12774,2305,3515,12008,1776,8785,34592,6326
1/15/2013 15:00,17532,12768,2283,3483,11961,1781,8698,34350,6278
1/15/2013 16:00,17495,12638,2281,3493,12001,1783,8664,34487,6235
1/15/2013 17:00,17678,12589,2317,3564,12383,1798,8781,35656,6444
1/15/2013 18:00,18347,12977,2413,3692,13033,1874,9230,37875,6797
1/15/2013 19:00,18772,13851,2467,3786,13019,1883,9431,37749,6877
1/15/2013 20:00,18642,13771,2436,3743,12745,1859,9303,37091,6843
1/15/2013 21:00,18427,13592,2382,3650,12433,1816,9122,36156,6758
1/15/2013 22:00,17918,13321,2301,3525,11796,1760,8790,34387,6505
1/15/2013 23:00,16925,12765,2158,3293,10920,1654,8263,31852,6127
1/16/2013 0:00,16088,11919,2033,3071,10224,1555,7743,29655,5822
1/16/2013 1:00,15450,11160,1938,2941,9755,1490,7420,28149,5537
1/16/2013 2:00,15180,10707,1879,2893,9532,1465,7220,27487,5430
1/16/2013 3:00,15053,10466,1839,2824,9449,1448,7070,27194,5338
1/16/2013 4:00,14898,10351,1831,2832,9577,1408,7132,27303,5381
1/16/2013 5:00,15145,10376,1861,2878,9957,1432,7233,28065,5429
1/16/2013 6:00,15897,10662,1988,3081,10760,1518,7577,30282,5736
